id,频道,分类,频道别名
100100,CCTV1,央视,CCTV1|CCTV-1|CCTV综合|CCTV-综合|中央1
100101,CCTV2,央视,CCTV2|CCTV-2|CCTV财经|CCTV-财经|中央2
100102,CCTV3,央视,CCTV3|CCTV-3|CCTV综艺|CCTV-综艺|中央3
100103,CCTV4,央视,CCTV4|CCTV-4|CCTV国际|CCTV-国际|中央4
100104,CCTV5,央视,CCTV5|CCTV-5|CCTV体育|CCTV-体育|中央5
100105,CCTV5+,央视,CCTV5+|CCTV-5+|CCTV体育+|CCTV-体育+|中央5+
100106,CCTV6,央视,CCTV6|CCTV-6|CCTV电影|CCTV-电影|中央6
100107,CCTV7,央视,CCTV7|CCTV-7|CCTV军事农业|中央7
100108,CCTV8,央视,CCTV8|CCTV-8|CCTV电视剧|CCTV-电视剧|中央8
100109,CCTV9,央视,CCTV9|CCTV-9|CCTV纪录|CCTV-纪录|中央9
100110,CCTV10,央视,CCTV10|CCTV-10|CCTV科教|CCTV-科教|中央10
100111,CCTV11,央视,CCTV11|CCTV-11|CCTV戏曲|CCTV-戏曲|中央11
100112,CCTV12,央视,CCTV12|CCTV-12|CCTV社会与法|中央12
100113,CCTV13,央视,CCTV13|CCTV-13|CCTV新闻|CCTV-新闻|中央13
100114,CCTV14,央视,CCTV14|CCTV-14|CCTV少儿|CCTV-少儿|中央14
100115,CCTV15,央视,CCTV15|CCTV-15|CCTV音乐|CCTV-音乐|中央15
100116,CCTV16,央视,CCTV16|CCTV-16|CCTV奥林匹克|中央16
100117,CCTV17,央视,CCTV17|CCTV-17|CCTV农业农村|中央17
200100,北京卫视,卫视,北京卫视|BTV|北京
200101,东方卫视,卫视,东方卫视|上海卫视|SMG
200102,江苏卫视,卫视,江苏卫视|JSBC
200103,浙江卫视,卫视,浙江卫视|ZJSTV|中国蓝
200104,湖南卫视,卫视,湖南卫视|HBS|芒果台
200105,广东卫视,卫视,广东卫视|GDTV
200106,深圳卫视,卫视,深圳卫视|SZTV
200107,山东卫视,卫视,山东卫视|SDTV
200108,四川卫视,卫视,四川卫视|SCTV
200109,湖北卫视,卫视,湖北卫视|HBTV
200110,安徽卫视,卫视,安徽卫视|AHTV
200111,江西卫视,卫视,江西卫视|JXTV
200112,天津卫视,卫视,天津卫视|TJTV
200113,辽宁卫视,卫视,辽宁卫视|LNTV
200114,黑龙江卫视,卫视,黑龙江卫视|HLJTV
200115,重庆卫视,卫视,重庆卫视|CQTV
200116,贵州卫视,卫视,贵州卫视|GZTV
200117,云南卫视,卫视,云南卫视|YNTV
200118,陕西卫视,卫视,陕西卫视|SXTV
200119,河南卫视,卫视,河南卫视|HNTV
200120,河北卫视,卫视,河北卫视|HEBTV
200121,山西卫视,卫视,山西卫视|SXWSTV
200122,吉林卫视,卫视,吉林卫视|JLTV
200123,新疆卫视,卫视,新疆卫视|XJTV
200124,内蒙古卫视,卫视,内蒙古卫视|NMTV
200125,广西卫视,卫视,广西卫视|GXTV
200126,海南卫视,卫视,海南卫视|HNGDTV
200127,甘肃卫视,卫视,甘肃卫视|GSTV
200128,青海卫视,卫视,青海卫视|QHTV
200129,宁夏卫视,卫视,宁夏卫视|NXTV
200130,西藏卫视,卫视,西藏卫视|XZTV
200131,兵团卫视,卫视,兵团卫视|BTTV
200132,三沙卫视,卫视,三沙卫视|SSTV
200133,延边卫视,卫视,延边卫视
200134,黄河卫视,卫视,黄河卫视
200135,康巴卫视,卫视,康巴卫视
200136,大湾区卫视,卫视,大湾区卫视
200137,内蒙古蒙语卫视,,
200138,东南卫视,,
200139,海峡卫视,,
200140,厦门卫视,,
200141,山东教育卫视,,
200142,农林卫视,,
200143,安多卫视,,
203800,卡酷动画,卫视,卡酷
203810,哈哈炫动,卫视,炫动
203820,金鹰卡通,卫视,金鹰卡通
203830,嘉佳卡通,卫视,嘉佳卡通
203840,优漫卡通,卫视,优漫卡通
300100,凤凰卫视,境外,凤凰卫视|Phoenix|凤凰中文
300101,凤凰资讯,境外,凤凰资讯|Phoenix News
400100,浙江钱江都市,地方,钱江都市|QJDS
400101,浙江经济生活,地方,经济生活|ZJJJ
400102,浙江教科影视,地方,教科影视|ZJKJ
400103,浙江民生休闲,地方,民生休闲|ZJMS
400104,浙江公共新闻,地方,公共新闻|ZJGG
400105,浙江少儿,地方,浙江少儿|ZJSE
500100,欢笑剧场,付费,欢笑剧场|HXJC
500101,都市剧场,付费,都市剧场|DSJC
500102,动漫秀场,付费,动漫秀场|DMXC
500103,游戏风云,付费,游戏风云|YXFY
